id,titulo,criado_em,fechado_em,quem_criou,quem_fechou,tempo_correcao_dias
35061,[Compiler Bug]: Compiler doesn't memoize if const is between hooks,2025-11-06 17:12:31+00:00,,Mati20041,,
35055,"[DevTools Bug]: DevTools in Edge constantly display ""Looks like this page doesn't have React, or it hasn't been loaded yet.""",2025-11-06 09:02:02+00:00,2025-11-09 14:04:07+00:00,mgrosperrin,mgrosperrin,3.2097800925925926
35049,[DevTools Bug] Cannot read properties of undefined (reading 'map'),2025-11-05 11:55:34+00:00,,Amurmurmur,,
35035,"[Compiler Bug]: Compilation skipped, reason unclear",2025-11-03 08:38:59+00:00,,rnkln,,
35029,[Compiler Bug]: set-state-in-effect false negative whenever tagged template literals are present,2025-11-01 04:03:18+00:00,,mdwyer6,,
35024,[Compiler Bug]: TanStack Form incompatibility ,2025-10-31 10:21:45+00:00,,JamesHyot,,
35023,"[DevTools Bug] Commit tree already contains fiber ""1088"". This is a bug in React DevTools.",2025-10-31 10:04:01+00:00,,MohitPatel1,,
35009,[Compiler Bug]: False positive on closure var reassignment in useMemo store,2025-10-29 15:07:09+00:00,,better-salmon,,
34989,[Compiler Bug]: Callback ref wrapped in `useCallback` not being recreated and rerun,2025-10-27 12:06:18+00:00,,DoodleBobBuffPants,josephsavona,
34976,[Compiler Bug]:,2025-10-25 07:20:59+00:00,2025-10-26 05:06:49+00:00,dhilloshahbaz244-tech,josephsavona,0.9068287037037037
34975,[Compiler Bug]:,2025-10-25 07:20:55+00:00,2025-10-26 05:07:04+00:00,dhilloshahbaz244-tech,josephsavona,0.9070486111111111
34971,[Compiler Bug]: Memoization is not correctly applied around `for` loops,2025-10-24 20:26:40+00:00,,cptpcrd,,
34957,[Compiler Bug]: `react-hooks/preserve-manual-memoization` is triggered for state setter depending on position of `useState`,2025-10-23 14:17:27+00:00,,kachkaev,,
34955,[Compiler Bug]: react-hooks/immutability false positive on ref assignment,2025-10-23 00:43:04+00:00,,igordanchenko,,
34954,[Compiler Bug]: react-hooks/refs false positive on ref forwarding,2025-10-22 23:26:31+00:00,,igordanchenko,,
34931,"[Compiler Bug]: Using useMemo with an sync function should not be reported, or should be able to be configured",2025-10-21 09:06:55+00:00,,julienw,,
34924,"[Compiler Bug]: ""This dependency may be mutated later"" error is inconsistent",2025-10-20 16:31:57+00:00,,cauthmann,,
34905,[Compiler Bug]: react-hooks/set-state-in-effect false positive on async function,2025-10-18 04:18:56+00:00,,printfn,,
34901,[Compiler Bug]: Incorrect closure hoisting causes runtime error,2025-10-17 18:14:54+00:00,,zaqqaz,,
34899,[Compiler Bug]: Incorrect JS output when copying and updating global variable with `+=` in `useEffect`,2025-10-17 14:12:02+00:00,,cxcorp,,
